NO2(GT),PT08.S4(NO2),T,RH,AH,Day,Month,Year,Hour,Weekday
113.0,1692.0,13.6,48.9,0.7578,10,03,2004,18,6
92.0,1559.0,13.3,47.7,0.7255,10,03,2004,19,6
114.0,1555.0,11.9,54.0,0.7502,10,03,2004,20,6
122.0,1584.0,11.0,60.0,0.7867,10,03,2004,21,6
96.0,1393.0,11.2,59.2,0.7848,10,03,2004,23,6
77.0,1333.0,11.3,56.8,0.7603,11,03,2004,00,2
76.0,1333.0,10.7,60.0,0.7702,11,03,2004,01,2
60.0,1276.0,10.7,59.7,0.7648,11,03,2004,02,2
34.0,1197.0,10.1,60.5,0.7465,11,03,2004,04,2
28.0,1182.0,11.0,56.2,0.7366,11,03,2004,05,2
48.0,1221.0,10.5,58.1,0.7353,11,03,2004,06,2
82.0,1339.0,10.2,59.6,0.7417,11,03,2004,07,2
112.0,1517.0,10.8,57.4,0.7408,11,03,2004,08,2
101.0,1583.0,10.5,60.6,0.7691,11,03,2004,09,2
98.0,1446.0,10.8,58.4,0.7552,11,03,2004,10,2
92.0,1362.0,10.5,57.9,0.7352,11,03,2004,11,2
95.0,1401.0,9.5,66.8,0.7951,11,03,2004,12,2
112.0,1537.0,8.3,76.4,0.8393,11,03,2004,13,2
128.0,1730.0,8.0,81.1,0.8736,11,03,2004,14,2
126.0,1647.0,8.3,79.8,0.8778,11,03,2004,15,2
131.0,1591.0,9.7,71.2,0.8569,11,03,2004,16,2
135.0,1719.0,9.8,67.6,0.8185,11,03,2004,17,2
151.0,2083.0,10.3,64.2,0.8065,11,03,2004,18,2
172.0,2333.0,9.7,69.3,0.8319,11,03,2004,19,2
165.0,2191.0,9.6,67.8,0.8133,11,03,2004,20,2
53.0,1252.0,8.2,60.8,0.6657,11,03,2004,23,2
97.0,1375.0,8.3,58.5,0.6438,12,03,2004,00,4
110.0,1378.0,7.7,59.7,0.6308,12,03,2004,01,4
32.0,1134.0,6.1,65.9,0.6248,12,03,2004,04,4
71.0,1223.0,6.8,62.9,0.6234,12,03,2004,06,4
122.0,1712.0,13.2,41.7,0.632,12,03,2004,10,4
143.0,1598.0,14.3,38.4,0.6243,12,03,2004,11,4
113.0,1537.0,15.0,36.5,0.6195,12,03,2004,12,4
116.0,1593.0,16.1,34.5,0.6262,12,03,2004,13,4
126.0,1740.0,15.8,37.0,0.661,12,03,2004,15,4
120.0,1657.0,15.9,37.2,0.6657,12,03,2004,16,4
119.0,1610.0,16.9,34.3,0.6549,12,03,2004,17,4
149.0,1910.0,15.1,39.6,0.6766,12,03,2004,18,4
170.0,2390.0,12.9,50.5,0.7478,12,03,2004,20,4
139.0,1723.0,11.0,59.1,0.774,12,03,2004,22,4
113.0,1544.0,9.5,64.1,0.7597,13,03,2004,00,5
97.0,1463.0,9.1,63.9,0.7423,13,03,2004,01,5
82.0,1365.0,8.8,63.9,0.7256,13,03,2004,02,5
83.0,1412.0,7.0,71.1,0.7158,13,03,2004,04,5
60.0,1268.0,7.2,67.5,0.6887,13,03,2004,06,5
77.0,1409.0,6.3,71.9,0.6932,13,03,2004,07,5
126.0,1667.0,12.4,51.2,0.7335,13,03,2004,10,5
