NO2(GT),PT08.S4(NO2),T,RH,AH,Day,Month,Hour,Weekday
113.0,1692.0,13.6,48.9,0.7578,10,3,18,6
92.0,1559.0,13.3,47.7,0.7255,10,3,19,6
114.0,1555.0,11.9,54.0,0.7502,10,3,20,6
122.0,1584.0,11.0,60.0,0.7867,10,3,21,6
96.0,1393.0,11.2,59.2,0.7848,10,3,23,6
77.0,1333.0,11.3,56.8,0.7603,11,3,0,2
76.0,1333.0,10.7,60.0,0.7702,11,3,1,2
60.0,1276.0,10.7,59.7,0.7648,11,3,2,2
34.0,1197.0,10.1,60.5,0.7465,11,3,4,2
28.0,1182.0,11.0,56.2,0.7366,11,3,5,2
48.0,1221.0,10.5,58.1,0.7353,11,3,6,2
82.0,1339.0,10.2,59.6,0.7417,11,3,7,2
112.0,1517.0,10.8,57.4,0.7408,11,3,8,2
101.0,1583.0,10.5,60.6,0.7691,11,3,9,2
98.0,1446.0,10.8,58.4,0.7552,11,3,10,2
92.0,1362.0,10.5,57.9,0.7352,11,3,11,2
95.0,1401.0,9.5,66.8,0.7951,11,3,12,2
112.0,1537.0,8.3,76.4,0.8393,11,3,13,2
128.0,1730.0,8.0,81.1,0.8736,11,3,14,2
126.0,1647.0,8.3,79.8,0.8778,11,3,15,2
131.0,1591.0,9.7,71.2,0.8569,11,3,16,2
135.0,1719.0,9.8,67.6,0.8185,11,3,17,2
151.0,2083.0,10.3,64.2,0.8065,11,3,18,2
172.0,2333.0,9.7,69.3,0.8319,11,3,19,2
165.0,2191.0,9.6,67.8,0.8133,11,3,20,2
53.0,1252.0,8.2,60.8,0.6657,11,3,23,2
97.0,1375.0,8.3,58.5,0.6438,12,3,0,4
110.0,1378.0,7.7,59.7,0.6308,12,3,1,4
32.0,1134.0,6.1,65.9,0.6248,12,3,4,4
71.0,1223.0,6.8,62.9,0.6234,12,3,6,4
122.0,1712.0,13.2,41.7,0.632,12,3,10,4
143.0,1598.0,14.3,38.4,0.6243,12,3,11,4
113.0,1537.0,15.0,36.5,0.6195,12,3,12,4
116.0,1593.0,16.1,34.5,0.6262,12,3,13,4
126.0,1740.0,15.8,37.0,0.6609999999999999,12,3,15,4
120.0,1657.0,15.9,37.2,0.6657,12,3,16,4
119.0,1610.0,16.9,34.3,0.6549,12,3,17,4
149.0,1910.0,15.1,39.6,0.6766,12,3,18,4
170.0,2390.0,12.9,50.5,0.7478,12,3,20,4
139.0,1723.0,11.0,59.1,0.774,12,3,22,4
113.0,1544.0,9.5,64.1,0.7597,13,3,0,5
97.0,1463.0,9.1,63.9,0.7423,13,3,1,5
82.0,1365.0,8.8,63.9,0.7256,13,3,2,5
83.0,1412.0,7.0,71.1,0.7158,13,3,4,5
60.0,1268.0,7.2,67.5,0.6887,13,3,6,5
77.0,1409.0,6.3,71.9,0.6932,13,3,7,5
126.0,1667.0,12.4,51.2,0.7335,13,3,10,5
158.0,1780.0,15.6,42.2,0.7451,13,3,11,5
161.0,1679.0,18.4,33.8,0.7090000000000001,13,3,12,5
124.0,1600.0,19.4,31.3,0.695,13,3,13,5
148.0,1779.0,16.1,41.0,0.7451,13,3,18,5
165.0,1922.0,15.8,42.4,0.7569,13,3,19,5
161.0,1915.0,15.7,44.1,0.7786,13,3,20,5
159.0,1860.0,15.3,46.8,0.8091,13,3,21,5
143.0,1748.0,14.6,48.6,0.8059999999999999,13,3,22,5
130.0,1603.0,14.7,49.3,0.8193,13,3,23,5
129.0,1611.0,13.9,53.6,0.8498,14,3,0,6
104.0,1543.0,12.5,58.9,0.8537,14,3,2,6
82.0,1452.0,12.1,61.1,0.8603,14,3,4,6
70.0,1377.0,11.5,63.1,0.8533,14,3,5,6
